Gene_ID,Tumor_Mean,Normal_Mean,Log2FC,P_value,T_stat,-log10(P),Significant
34514,8.701243243243244,9.231351351351353,-0.07675515811801814,1.9273205509531403e-11,-6.983203940758115,10.715046047704424,Not Significant
23264,8.182229729729729,7.428628378378377,0.12354665200350068,1.9416595551677778e-11,6.981990169291776,10.71182691566043,Not Significant
18958,6.776121621621622,7.395283783783784,-0.1105283096224472,1.945207012328627e-11,-6.9816912444542005,10.71103417350128,Not Significant
22666,7.687027027027029,8.415621621621623,-0.11619381902291881,1.9470837099424444e-11,-6.981533322300694,10.710615376685114,Not Significant
21804,6.663027027027027,5.908364864864865,0.14957011327939362,1.9995354372614046e-11,6.977179112208988,10.699070894570868,Not Significant
59763,4.735506756756757,5.181689189189189,-0.10808015816704275,2.0224919791005314e-11,-6.975308659013309,10.694113192058971,Not Significant
40748,6.291777027027027,5.836912162162163,0.09292555603991604,2.042634000403689e-11,6.973684654891776,10.689809443374747,Not Significant
55494,10.744722972972973,9.612162162162162,0.14629405802232487,2.0507771180354798e-11,6.973032563360615,10.688081536933982,Not Significant
5544,7.341993243243243,7.94995945945946,-0.10148900374140002,2.080709608525282e-11,-6.970657305589126,10.681788527292081,Not Significant
41422,9.033797297297298,8.385425675675675,0.09637361315486892,2.089235682765457e-11,6.969986880223688,10.680012565308814,Not Significant
16064,5.261040540540541,4.756331081081081,0.12125287027118992,2.1064460464080883e-11,6.9686417520415835,10.67644966022445,Not Significant
31075,9.627,8.94137837837838,0.09621658047428783,2.1995646654914982e-11,6.961546275468905,10.65766326557923,Not Significant
21533,5.593033783783784,5.002972972972973,0.13526530141255932,2.222563243820624e-11,6.959839357793334,10.653145872179335,Not Significant
18314,12.262851351351351,12.672797297297297,-0.04391746133591523,2.2443175614269437e-11,-6.958240707003695,10.648915692238639,Not Significant
11068,15.83195945945946,15.505939189189188,0.028217904597352295,2.258473631927222e-11,6.957208594065832,10.646184975536661,Not Significant
38209,9.036939189189189,9.38629054054054,-0.049361108418573885,2.259937393811092e-11,-6.957102235186124,10.645903591781353,Not Significant
37293,8.727412162162164,9.293662162162162,-0.08162838626816127,2.334744651744065e-11,-6.951754973181401,10.6317606107735,Not Significant
30654,4.610344594594594,4.161081081081082,0.12041609006590948,2.3674614785860164e-11,6.949469145531971,10.625717078754946,Not Significant
34906,4.27270945945946,3.6333378378378383,0.18649262281678425,2.3718418739678695e-11,6.949165462217112,10.624914267901495,Not Significant
57837,7.111817567567567,6.393952702702703,0.13367939192237843,2.3874036806400634e-11,6.948091040560101,10.622074140921322,Not Significant
16015,6.493871621621622,7.245682432432432,-0.137927636598127,2.454349230268883e-11,-6.943546211064954,10.61006364128804,Not Significant
37042,4.710351351351352,4.266729729729731,0.11667208839118093,2.510460206179741e-11,6.939829914115063,10.60024665832609,Not Significant
34634,10.46072972972973,10.829432432432434,-0.04568194931081759,2.5595671462020836e-11,-6.936643957291509,10.591833472934388,Not Significant
17817,4.8431283783783785,5.198743243243243,-0.08523476083435577,2.684562920948943e-11,-6.9287982307139035,10.571126412560984,Not Significant
53519,5.0781081081081085,5.745912162162162,-0.15039119774721854,2.7068073348293314e-11,-6.9274397614407714,10.567542655348172,Not Significant
49837,12.407729729729729,12.056560810810812,0.03829004190362806,2.717599461859734e-11,6.926784636791613,10.565814552137208,Not Significant
56458,7.919554054054054,8.380209459459458,-0.07264855605249831,2.7378698386729588e-11,-6.925561034094247,10.562587202545995,Not Significant
6966,7.680081081081082,7.278824324324325,0.0682826138440209,2.75906180346644e-11,6.924291293336612,10.559238571139584,Not Significant
27092,10.056013513513514,10.470108108108109,-0.05304770489962163,2.820643106403454e-11,-6.920655307234702,10.549651861283488,Not Significant
14987,9.887567567567569,8.998351351351351,0.12291954145931383,2.83859774976719e-11,6.919609895984085,10.546896145844576,Not Significant
36566,9.244128378378377,9.66914864864865,-0.05864782213787745,2.924913919357924e-11,-6.914673242421527,10.533886910743497,Not Significant
25899,7.880601351351351,7.566952702702702,0.05187524867767257,2.9967829866783514e-11,6.910670995214126,10.523344705536338,Not Significant
37535,6.316574324324325,7.205277027027026,-0.16538371709714328,3.023032990773583e-11,-6.909232685717741,10.519557113281085,Not Significant
9299,10.51154054054054,10.952506756756756,-0.05423230510664023,3.024661084061021e-11,-6.909143883117478,10.519323281364626,Not Significant
25288,8.620736486486487,7.860662162162163,0.11873282318985812,3.0663204894728603e-11,6.906887467555879,10.513382454982143,Not Significant
25141,8.713675675675676,9.041986486486486,-0.04795546571889853,3.101497810543949e-11,-6.905005503691834,10.508428521082608,Not Significant
23708,7.599324324324325,8.324513513513514,-0.11680515058444074,3.115644575579607e-11,-6.904254574472882,10.506452091329576,Not Significant
23551,14.914621621621619,14.549114864864867,0.03352039944544094,3.139451075660644e-11,6.902998432464024,10.503146280478278,Not Significant
40159,11.457898648648648,10.822608108108108,0.07551240640021462,3.1547219381677685e-11,6.902197593879354,10.50103891408743,Not Significant
18034,6.277331081081081,6.861337837837838,-0.11136540297554864,3.183354277713574e-11,-6.90070627386196,10.49711502575408,Not Significant
26144,5.555547297297298,6.319641891891892,-0.15905683693375883,3.338352352427137e-11,-6.892855430765148,10.476467826842251,Not Significant
48770,9.319162162162165,8.349513513513514,0.14236263578864206,3.402265186906379e-11,6.889722091733308,10.468231838659484,Not Significant
34578,6.979945945945947,6.066479729729729,0.17538727969686851,3.5111517344910656e-11,6.884514904624929,10.454550402084553,Not Significant
42005,9.02233108108108,8.580932432432432,0.06498012873346859,3.5183682250809473e-11,6.884175431040005,10.453658710145154,Not Significant
20242,7.640797297297299,8.10135135135135,-0.07491633200624515,3.579751532211143e-11,-6.8813152579900105,10.446147116354577,Not Significant
43435,13.149304054054053,12.441283783783783,0.07406015735228033,3.6313645371078166e-11,6.878947422613804,10.439930151938732,Not Significant
52030,10.06595945945946,9.181885135135134,0.12012384820218136,3.641551648102074e-11,6.878483984932018,10.438713526070368,Not Significant
32195,8.570128378378378,9.073135135135136,-0.0739025907390718,3.717226015264432e-11,-6.875080760336414,10.429781032071338,Not Significant
15647,6.398141891891892,6.9985135135135135,-0.11256893601007922,3.774329306839196e-11,-6.872557524051367,10.42316021071483,Not Significant
49428,10.320513513513514,11.060500000000001,-0.09135031700995189,3.822483408151938e-11,-6.870458738523264,10.417654391007519,Not Significant
